student,coursecode,ratings
117,HIST3011,4.5
148,MDIA1006,2.8
13,FREN1304,1.1
172,MGMT1424,2.7
155,COMM2324,3.5
58,ZOOL2407,2.6
54,ZOOL2402,2.6
7,BIOC2020,2.4
171,PHYS2671,2.5
69,IMCC3901,1.6
66,CHEM3212,2.1
20,COMM3248,3.5
1,ECON3051,5
158,ELET2410,1.3
60,MG2026,3.7
98,BIOT3114,4.7
196,GOVT3009,4.4
8,FREN2002,1.6
198,MICR1011,3.7
116,PHIL2602,1.4
25,PHIL3602,2.9
58,GOVT2269,3.4
24,PHYS3341,2.9
64,GOVT3051,2.6
123,LING1819,1.2
139,FILM2826,4.6
3,MATH2401,3.5
182,BIOL2404,1.6
185,MUSC3002,2.9
129,GOVT3016,1.9
200,BIOT3116,1.3
188,GEOL1104,3.5
147,HIST3003,1.7
82,PHYS0421,1.3
162,CHEM2011,1.1
109,LITS1002,4.3
185,GOVT3048,2.9
132,MG2026,1.6
166,MATH3412,1.8
121,GOVT2110,4.3
90,JOUR1001,1.8
151,MGMT3051,1.2
142,COMM3399,4.5
109,LITS2604,3.3
72,ELET3611,1.7
10,PHYS1412,2.1
99,PHIL2003,1.2
81,FILM3815,3.4
93,HOTL3001,4.1
116,GEOL3104,3.8
97,COMM2901,2.7
5,MDIA2006,2.8
164,GEOL2204,2
83,PHIL3802,1.7
160,GOVT2049,3.5
200,FILM1810,4.2
127,PHIL2006,2
185,ECON2025,4.8
141,COMM3301,4.1
118,ECON2015,4.5
70,COMM3931,4
34,SPAN1402,4.5
39,LISB2502,2.8
33,MATH2411,3.3
98,HIST2007,4.3
114,MGMT3033,2
185,GOVT3202,3.5
145,CLTR3506,4.5
22,ECON2000,5
181,CLTR2505,3.2
66,GOVT1001,1.8
193,LITS2004,4.6
53,GOVT3035,2.3
119,BIOC1020,3.5
95,MGMT2008,4.2
111,HIST3021,1.1
90,SPAN3502,3
77,PHYS2386,2.2
77,LITS2706,2.2
183,MGMT3012,4.2
173,LANG3101,1.2
147,SPAN3301,4.6
84,LING2204,1.2
72,IMCC3901,3.1
14,MGMT2023,4.2
23,CLTR3506,3.7
109,MGMT3048,1.3
176,GOVT1012,4.6
61,LITS3113,4.7
21,MATH2404,1.2
188,MICR3213,1.2
76,CHIN1002,3.4
83,MICR3216,1.4
116,IMCC2900,1.4
53,PHIL1003,1.5
37,FREN3002,1.1
9,HIST3105,1.7
8,CHEM2010,4.8
116,CHEM3212,2.7
151,CLTR3510,4.6
66,CHEM3211,2.4
76,GOVT1013,3
198,SOWK3028,2
197,GOVT2006,1.5
135,MGMT3124,2.9
137,HIST1505,1.2
87,MUSC3300,4.6
118,MGMT3051,4.8
184,LIST3504,1.4
142,HIST3203,2.2
113,BIOL3312,2.7
74,FREN3507,2.3
46,CLTR3516,1.9
193,LING3399,3.2
28,LING1401,2.3
151,LIBS1502,2.4
93,MATH3423,1.6
21,JAPA2001,1.5
96,MATH3803,1.4
103,BIOC3413,4.6
19,FILM3815,3.5
7,ECON3073,1.4
161,MKTG3002,3.3
71,GEOL3108,4.3
88,PHYS1422,2.8
48,CLTR2524,2.8
148,IMCC2601,2.1
199,PHIL2001,1.6
135,AGCP3406,2.2
49,LITS3111,1.7
8,ZOOL2403,4.7
115,LING3202,4.9
97,LING2002,4.2
46,PHYS2396,2.3
52,LING1401,4.1
58,CHEM3402,3.6
43,IMCC3801,3.4
183,GOVT3180,2
105,PHIL3802,2.2
50,ELET2450,1.8
142,PHIL3018,1.3
118,BIOL3312,2
68,MGMT3017,2.1
2,CHEM2011,2.3
156,FREN3003,3.3
102,JOUR3901,1.8
27,MGMT3066,2.3
7,ECON3069,2.4
86,ACCT1003,4.8
149,GOVT1013,3.8
193,COMM3901,1.4
131,MATH3403,4
85,BIOC2020,2.8
46,JOUR1002,2.3
84,HIST3902,1.3
198,CLTR3510,4.1
81,LITS2806,3.6
34,GEOG3334,4.9
17,LING3001,3.2
187,LIBS3702,1.3
184,CHEM3513,3.4
81,LIST3714,3.8
93,CLTR1001,3.4
140,PHIL1002,4.5
55,GOVT3179,1
46,GEOL2205,2.4
45,LITS3103,3.9
105,FILM2812,1.6
97,GEOG1231,2.9
35,LING2820,3.8
164,MATH3801,3.1
100,CLTR3518,1.6
31,SOWK2021,2.2
2,STAT2004,4.2
154,HIST2902,3.7
32,BIOL3400,2.3
195,GEOL3105,1.9
4,CLTR3506,2.6
191,GGEO3332,2.9
83,ZOOL3405,3.8
160,HIST3008,1.5
55,PHIL2004,4.1
169,MDIA2006,1.7
158,LING2810,4.8
80,ELET2420,2.4
167,GOVT3114,4.4
131,BOTN3402,2.3
134,ECON2016,4
109,MDIA2006,2.3
22,MICR3213,4.2
60,FILM2824,1.7
20,CLTR2518,2.9
10,BIOL2407,5
172,LANG3101,2.7
177,MKTG3010,2.1
21,GOVT2037,4.1
69,CLTR2506,4.8
41,GOVT1013,3.6
88,PHIL3602,3.2
131,MUSC2001,3.7
80,LING1001,4.4
183,HIST2405,4.1
43,CHEM3513,4.4
161,FILM1820,2.1
113,LING3001,1.8
119,GEOG2131,1.9
131,GGEO3231,2.1
37,ELET2480,2.3
6,GEOL1102,3.1
5,PHIL3026,2.1
138,SOWK2021,3.1
197,JOUR2301,1.4
162,CLTR3518,1.7
187,GOVT3009,1.9
153,MKTG3002,2.7
43,LING2301,2.4
76,ECON1003,2.9
176,GOVT2009,3.4
63,ACCT1005,3.7
182,HIST3310,3.7
136,ZOOL3407,3.8
65,PHIL3510,3.9
158,CLTR3506,2.2
163,LITS1007,4.7
132,LIBS3801,3.1
20,LING3304,4.4
194,HIST3601,2.7
120,ECON3005,2.7
17,MDIA2002,3.8
164,SOWK2107,4.7
68,ECON3049,2
40,BOTN3403,4
63,MATH3155,3.3
12,PHIL3802,4.9
15,LIBS3901,1.7
124,PHIL2002,3
129,PHIL2004,1
120,IMCC3701,3.9
115,MUSC2001,2.3
145,GOVT1012,2.5
16,COMM3428,3
114,MICR2211,2.3
22,HIST3407,2.3
34,PHYS0422,3
40,PHYS0411,4.5
107,BIOL3313,2.3
134,PHYS2200,1.5
73,MICR3214,2.8
117,GEOL2202,3.2
48,MG2026,2.2
